sku,name,store_view_code,description,series_description,short_description
NTA1209MC,NTA1209MC,,"&plusmn;9V &plusmn;55mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;9V &plusmn;55mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input "
NTA1209MC-R,NTA1209MC-R,,"&plusmn;9V &plusmn;55mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;9V &plusmn;55mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input "
NTA1212MC,NTA1212MC,,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input "
NTA1212MC-R,NTA1212MC-R,,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input "
NTA1215MC,NTA1215MC,,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input "
NTA1215MC-R,NTA1215MC-R,,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input ",The NTA series of miniature surface mounted DC-DC Converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input "
NTH0505MC,NTH0505MC,,"&plusmn;5V &plusmn;200mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input","The NTH series of miniature surface mounted DC-DC converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. The component lead termination of this product range is lead-free compatible, therefore the converter can be soldered in a lead-free soldering process. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.","&plusmn;5V &plusmn;200mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input"
NTH0505MC-R,NTH0505MC-R,,"&plusmn;5V &plusmn;200mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input","The NTH series of miniature surface mounted DC-DC converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. The component lead termination of this product range is lead-free compatible, therefore the converter can be soldered in a lead-free soldering process. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.","&plusmn;5V &plusmn;200mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input"
NTH0509MC,NTH0509MC,,"&plusmn;9V &plusmn;111mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input","The NTH series of miniature surface mounted DC-DC converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. The component lead termination of this product range is lead-free compatible, therefore the converter can be soldered in a lead-free soldering process. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.","&plusmn;9V &plusmn;111mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input"
NTH0509MC-R,NTH0509MC-R,,"&plusmn;9V &plusmn;111mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input","The NTH series of miniature surface mounted DC-DC converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. The component lead termination of this product range is lead-free compatible, therefore the converter can be soldered in a lead-free soldering process. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.","&plusmn;9V &plusmn;111mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input"
NTH0512MC,NTH0512MC,,"&plusmn;12V &plusmn;83mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input","The NTH series of miniature surface mounted DC-DC converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. The component lead termination of this product range is lead-free compatible, therefore the converter can be soldered in a lead-free soldering process. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.","&plusmn;12V &plusmn;83mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input"
NTH0512MC-R,NTH0512MC-R,,"&plusmn;12V &plusmn;83mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input","The NTH series of miniature surface mounted DC-DC converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. The component lead termination of this product range is lead-free compatible, therefore the converter can be soldered in a lead-free soldering process. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.","&plusmn;12V &plusmn;83mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input"
NTH0515MC,NTH0515MC,,"&plusmn;15V &plusmn;67mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input","The NTH series of miniature surface mounted DC-DC converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. The component lead termination of this product range is lead-free compatible, therefore the converter can be soldered in a lead-free soldering process. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.","&plusmn;15V &plusmn;67mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input"
NTH0515MC-R,NTH0515MC-R,,"&plusmn;15V &plusmn;67mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input","The NTH series of miniature surface mounted DC-DC converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. The component lead termination of this product range is lead-free compatible, therefore the converter can be soldered in a lead-free soldering process. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.","&plusmn;15V &plusmn;67mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 4.5-5.5V Input"
NTH1205MC,NTH1205MC,,"&plusmn;5V &plusmn;200mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input","The NTH series of miniature surface mounted DC-DC converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. The component lead termination of this product range is lead-free compatible, therefore the converter can be soldered in a lead-free soldering process. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.","&plusmn;5V &plusmn;200mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input"
NTH1205MC-R,NTH1205MC-R,,"&plusmn;5V &plusmn;200mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input","The NTH series of miniature surface mounted DC-DC converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. The component lead termination of this product range is lead-free compatible, therefore the converter can be soldered in a lead-free soldering process. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.","&plusmn;5V &plusmn;200mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input"
NTH1209MC,NTH1209MC,,"&plusmn;9V &plusmn;111mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input","The NTH series of miniature surface mounted DC-DC converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. The component lead termination of this product range is lead-free compatible, therefore the converter can be soldered in a lead-free soldering process. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.","&plusmn;9V &plusmn;111mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input"
NTH1209MC-R,NTH1209MC-R,,"&plusmn;9V &plusmn;111mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input","The NTH series of miniature surface mounted DC-DC converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. The component lead termination of this product range is lead-free compatible, therefore the converter can be soldered in a lead-free soldering process. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.","&plusmn;9V &plusmn;111mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input"
NTH1212MC,NTH1212MC,,"&plusmn;12V &plusmn;83mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input","The NTH series of miniature surface mounted DC-DC converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. The component lead termination of this product range is lead-free compatible, therefore the converter can be soldered in a lead-free soldering process. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.","&plusmn;12V &plusmn;83mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input"
NTH1212MC-R,NTH1212MC-R,,"&plusmn;12V &plusmn;83mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input","The NTH series of miniature surface mounted DC-DC converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. The component lead termination of this product range is lead-free compatible, therefore the converter can be soldered in a lead-free soldering process. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.","&plusmn;12V &plusmn;83mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input"
NTH1215MC,NTH1215MC,,"&plusmn;15V &plusmn;67mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input","The NTH series of miniature surface mounted DC-DC converters employ leadframe technology and transfer moulding techniques to bring all of the benefi ts of IC style packaging to hybrid circuitry. The component lead termination of this product range is lead-free compatible, therefore the converter can be soldered in a lead-free soldering process. Co-planarity of the lead positions is based upon IEC 191-6:1990. The devices are suitable for all applications where high volume production is envisaged.","&plusmn;15V &plusmn;67mA, Isolated 2W Dual Output SM 1kVDC, DC-DC Converters, 10.8-13.2V Input"
