sku,store_view_code,description,series_description,short_description
CMR0505SAP3C,,"5V 150mA, Isolated 0.75W Input Single Output 3kVDC, DC-DC Converter, 4.5 - 5.5V Input","The CMR series are a cost effective 0.75W DC-DC
converter series, in an industry standard package
with industry standard pinouts., Popular input and
output voltages are available as a lower power
alternative to a 1W DC-DC converter. The galvanic
isolation allows the device to be configured to
provide an isolated negative rail in systems where
only positive rails exist. The wide temperature
range guarantees startup from -40&deg;C and full
0.75 watt output at 85&deg;C.","5V 150mA, Isolated 0.75W Input Single Output 3kVDC, DC-DC Converter, 4.5 - 5.5V Input"
CMR0512S3C,,"&plusmn;12V &plusmn;31mA, Isolated 0.75W Dual Output 3kVDC, DC-DC Converter, 4.5 - 5.5V Input","The CMR series are a cost effective 0.75W DC-DC converter series, in an industry standard packagewith industry standard pinouts., Popular input and output voltages are available as a lower power alternative to a 1W DC-DC converter. The galvanic isolation allows the device to be configured toprovide an isolated negative rail in systems where only positive rails exist. The wide temperatur range guarantees startup from -40&deg;C and full 0.75 watt output at 85&deg;C.","&plusmn;12V &plusmn;31mA, Isolated 0.75W Dual Output 3kVDC, DC-DC Converter, 4.5 - 5.5V Input"
CMR0515S3C,,"&plusmn;15V &plusmn;25mA, Isolated 0.75W Dual Output 3kVDC, DC-DC Converter, 4.5 - 5.5V Input","The CMR series are a cost effective 0.75W DC-DC converter series, in an industry standard packagewith industry standard pinouts., Popular input and output voltages are available as a lower power alternative to a 1W DC-DC converter. The galvanic isolation allows the device to be configured toprovide an isolated negative rail in systems where only positive rails exist. The wide temperatur range guarantees startup from -40&deg;C and full 0.75 watt output at 85&deg;C.","&plusmn;15V &plusmn;25mA, Isolated 0.75W Dual Output 3kVDC, DC-DC Converter, 4.5 - 5.5V Input"
CMR100C,,"5V 150mA, Isolated 0.75W Single Output 1kVDC, DC-DC Converter, 4.5 - 5.5V Input","The CMR series are a cost effective 0.75W DC-DC converter series, in an industry standard packagewith industry standard pinouts., Popular input and output voltages are available as a lower power alternative to a 1W DC-DC converter. The galvanic isolation allows the device to be configured toprovide an isolated negative rail in systems where only positive rails exist. The wide temperatur range guarantees startup from -40&deg;C and full 0.75 watt output at 85&deg;C.","5V 150mA, Isolated 0.75W Single Output 1kVDC, DC-DC Converter, 4.5 - 5.5V Input"
CMR100PC,,"5V 150mA, Isolated 0.75W Input Single Output 1kVDC, DC-DC Converter, 4.5 - 5.5V Input","The CMR series are a cost effective 0.75W DC-DC
converter series, in an industry standard package
with industry standard pinouts., Popular input and
output voltages are available as a lower power
alternative to a 1W DC-DC converter. The galvanic
isolation allows the device to be configured to
provide an isolated negative rail in systems where
only positive rails exist. The wide temperature
range guarantees startup from -40&deg;C and full
0.75 watt output at 85&deg;C.","5V 150mA, Isolated 0.75W Input Single Output 1kVDC, DC-DC Converter, 4.5 - 5.5V Input"
CMR118C,,"5V 150mA, Isolated 0.75W Single Output 1kVDC, DC-DC Converter, 21.6 - 26.4V Input","The CMR series are a cost effective 0.75W DC-DC converter series, in an industry standard packagewith industry standard pinouts., Popular input and output voltages are available as a lower power alternative to a 1W DC-DC converter. The galvanic isolation allows the device to be configured toprovide an isolated negative rail in systems where only positive rails exist. The wide temperatur range guarantees startup from -40&deg;C and full 0.75 watt output at 85&deg;C.","5V 150mA, Isolated 0.75W Single Output 1kVDC, DC-DC Converter, 21.6 - 26.4V Input"
CMR1215S3C,,"&plusmn;15V &plusmn;25mA, Isolated 0.75W Dual Output 3kVDC, DC-DC Converter, 10.8 - 13.2V Input","The CMR series are a cost effective 0.75W DC-DC converter series, in an industry standard packagewith industry standard pinouts., Popular input and output voltages are available as a lower power alternative to a 1W DC-DC converter. The galvanic isolation allows the device to be configured toprovide an isolated negative rail in systems where only positive rails exist. The wide temperatur range guarantees startup from -40&deg;C and full 0.75 watt output at 85&deg;C.","&plusmn;15V &plusmn;25mA, Isolated 0.75W Dual Output 3kVDC, DC-DC Converter, 10.8 - 13.2V Input"
CRE1S0505DC,,"5V 200mA, Isolated 1W single Output DC-DC Converter 1kVDC, 4.5-5.5V Input","The CRE1 series are a cost effective 1W DC-DC converter series, in industry standard packages with industry standard pinout. Popular input and output voltages are available. The galvanic isolation allows the device to be configured to provide an isolated negative rail in systems where only positive rails exist. The wide temperature range guarantees startup from -40&deg;C and full 1 watt output at 85&deg;C.","5V 200mA, Isolated 1W single Output DC-DC Converter 1kVDC, 4.5-5.5V Input"
CRE1S0505MC,,"5V 200mA, Isolated 1W single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input","The CRE1 series are a cost effective 1W DC-DC converter series, in industry standard packages with industry standard pinout. Popular input and output voltages are available. The galvanic isolation allows the device to be configured to provide an isolated negative rail in systems where only positive rails exist. The wide temperature range guarantees startup from -40&deg;C and full 1 watt output at 85&deg;C³.","5V 200mA, Isolated 1W single Output DC-DC Converter 1kVDC, 4.5-5.5V Input"
CRE1S0505MEC,,"5V 200mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 4.4-5.5V Input","The CRE1 series are a cost effective 1W DC-DC converter series, in industry standard packages with industry standard pinout. Popular input and output voltages are available. The galvanic isolation allows the device to be configured to provide an isolated negative rail in systems where only positive rails exist. The wide temperature range guarantees startup from -40&deg;C and full 1 watt output at 85&deg;C³.","5V 200mA, Isolated 1W single Output DC-DC Converter 1kVDC, 4.5-5.5V Input"
CRE1S0505SC,,"5V 200mA, Isolated 1W single Output DC-DC Converter 1kVDC, 4.5-5.5V Input","The CRE1 series are a cost effective 1W DC-DC converter series, in industry standard packages with industry standard pinout. Popular input and output voltages are available. The galvanic isolation allows the device to be configured to provide an isolated negative rail in systems where only positive rails exist. The wide temperature range guarantees startup from -40&deg;C and full 1 watt output at 85&deg;C.","5V 200mA, Isolated 1W single Output DC-DC Converter 1kVDC, 4.5-5.5V Input"
CRE1S0515SC,,"15V 67mA, Isolated 1W single Output DC-DC Converter 1kVDC, 4.5-5.5V Input","The CRE1 series are a cost effective 1W DC-DC converter series, in industry standard packages with industry standard pinout. Popular input and output voltages are available. The galvanic isolation allows the device to be configured to provide an isolated negative rail in systems where only positive rails exist. The wide temperature range guarantees startup from -40&deg;C and full 1 watt output at 85&deg;C.","15V 67mA, Isolated 1W single Output DC-DC Converter 1kVDC, 4.5-5.5V Input"
CRE1S1205SC,,"5V 200mA, Isolated 1W single Output DC-DC Converter 1kVDC, 10.8-13.2V Input","The CRE1 series are a cost effective 1W DC-DC converter series, in industry standard packages with industry standard pinout. Popular input and output voltages are available. The galvanic isolation allows the device to be configured to provide an isolated negative rail in systems where only positive rails exist. The wide temperature range guarantees startup from -40&deg;C and full 1 watt output at 85&deg;C.","5V 200mA, Isolated 1W single Output DC-DC Converter 1kVDC, 10.8-13.2V Input"
CRE1S1212SC,,"12V 83mA, Isolated 1W single Output DC-DC Converter 1kVDC, 10.8-13.2V Input","The CRE1 series are a cost effective 1W DC-DC converter series, in industry standard packages with industry standard pinout. Popular input and output voltages are available. The galvanic isolation allows the device to be configured to provide an isolated negative rail in systems where only positive rails exist. The wide temperature range guarantees startup from -40&deg;C and full 1 watt output at 85&deg;C.","12V 83mA, Isolated 1W single Output DC-DC Converter 1kVDC, 10.8-13.2V Input"
CRE1S2405SC,,"5V 200mA, Isolated 1W single Output DC-DC Converter 1kVDC, 21.6-26.4V Input","The CRE1 series are a cost effective 1W DC-DC converter series, in industry standard packages with industry standard pinout. Popular input and output voltages are available. The galvanic isolation allows the device to be configured to provide an isolated negative rail in systems where only positive rails exist. The wide temperature range guarantees startup from -40&deg;C and full 1 watt output at 85&deg;C.","5V 200mA, Isolated 1W single Output DC-DC Converter 1kVDC, 21.6-26.4V Input"
CRE1S2412SC,,"12V 83mA, Isolated 1W single Output DC-DC Converter 1kVDC, 21.6-26.4V Input","The CRE1 series are a cost effective 1W DC-DC converter series, in industry standard packages with industry standard pinout. Popular input and output voltages are available. The galvanic isolation allows the device to be configured to provide an isolated negative rail in systems where only positive rails exist. The wide temperature range guarantees startup from -40&deg;C and full 1 watt output at 85&deg;C.","12V 83mA, Isolated 1W single Output DC-DC Converter 1kVDC, 21.6-26.4V Input"
CRL2S0505SC,,"5V 400mA, Isolated 2W Single Output DC-DC Converter 1kVDC, 4.4-5.5V Input","The CRL2 series of DC-DC Converters is particularly suited to isolating and/or converting DC power rails. The galvanic isolation allows the device to be
configured to provide an isolated negative rail in systems where only positive rails exist. The wide temperature range guarantees startup from -40&deg;C and full 2 watt output at 85&deg;C. Pin compatibility with the NME and LME ensures ease of upgradeability. ","5V 400mA, Isolated 2W Single Output DC-DC Converter 1kVDC, 4.4-5.5V Input"
CRL2S1205SC,,"5V400mA, Isolated 2W Single Output DC-DC Converter 1kVDC, 10.8-13.2V Input","The CRL2 series of DC-DC Converters is particularly suited to isolating and/or converting DC power rails. The galvanic isolation allows the device to be
configured to provide an isolated negative rail in systems where only positive rails exist. The wide temperature range guarantees startup from -40&deg;C and full 2 watt output at 85&deg;C. Pin compatibility with the NME and LME ensures ease of upgradeability. ","5V 400mA, Isolated 2W Single Output DC-DC Converter 1kVDC, 10.8-13.2V Input"
CRR1S0505SC,,"5V 200mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 4.4-5.5V Input",The CRR1 series of industrial temperature range DC-DC converters is the standard building block for on-board distributed power systems. It is ideally suited for providing single rail supplies on primarily digital boards with the added benefit of galvanic isolation to reduce switching noise. Surface mount technology and advanced packaging materials produce rugged reliable performance over an extended temperature range from -40&deg;C to 85&deg;C.,"5V 200mA, Isolated 1W Single Output 1kVDC, DC-DC Converter, 4.4-5.5V Input"
CRV1D0512SC,,"&plusmn;12V &plusmn;42mA, Isolated 1W dual output 3kVDC, DC-DC Converters, 4.5-5.5V input",The CRV1 series of industrial temperature range DC-DC converters are the standard buliding blocks for on-board distributed power systems. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. Available in SIP package with dual and single output pinout. All of the rated power may be drawn from a single pin provided the total loaddoes not exceed 1 watt.,"12V,  3kVDC Isolated 1W dual output, DC/DC Converters, 4.5 - 5.5V input"
CRV1D1212SC,,"&plusmn;12V &plusmn;42mA, Isolated 1W dual output 3kVDC, DC-DC Converters, 10.8-13.2V input",The CRV1 series of industrial temperature range DC-DC converters are the standard buliding blocks for on-board distributed power systems. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. Available in SIP package with dual and single output pinout. All of the rated power may be drawn from a single pin provided the total loaddoes not exceed 1 watt.,"12V,  3kVDC Isolated 1W dual output, DC/DC Converters, 10.8 - 13.2V input"
CRV1S0505SC,,"5V 200mA, Isolated 1W Dual Output 3kVDC, DC-DC Converter, 4.5 - 5.5V input",The CRV1 series of industrial temperature range DC-DC converters are the standard buliding blocks for on-board distributed power systems. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. Available in SIP package with dual and single output pinout. All of the rated power may be drawn from a single pin provided the total load does not exceed 1 watt.,"5V 200mA, Isolated 1W Dual Output 3kVDC, DC-DC Converter, 4.5 - 5.5V input"
CRV1S1215SC,,"15V 67mA, Isolated 1W Dual Output 3kVDC, DC-DC Converter, 10.8 - 13.2V input",The CRV1 series of industrial temperature range DC-DC converters are the standard buliding blocks for on-board distributed power systems. They are ideally suited for providing local supplies on control system boards with the added benefit of 3kVDC galvanic isolation to reduce switching noise. Available in SIP package with dual and single output pinout. All of the rated power may be drawn from a single pin provided the total loaddoes not exceed 1 watt.,"15V 67mA, Isolated 1W Dual Output 3kVDC, DC-DC Converter, 10.8 - 13.2V input"
CRV2S0505SC,,"5V 400mA, Isolated 2W Single Output 3kVDC, DC-DC Converter, 4.5 - 5.5V input","The CRV2 series of industrial temperature range DC-DC converters, available in industry standard SIP packaging offers a power upgrade path from the 1W NMV series. The un-regulated CRV2 series has superior output voltage set point accuracy in conjunction with excellent load regulation for this converter type.","5V 400mA, Isolated 2W Single Output 3kVDC, DC-DC Converter, 4.5 - 5.5V input"
LME0305SC,,"5V 50mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 2.97-3.63 Input","The LME0305SC is optimized for low-power applications and is ideally suited to generating anegative supply where only a positive rail exists.","5V 50mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 2.97-3.63 Input"
LME0505DC,,"5V 50mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input",The LME series of DC-DC converters are optimised for low-power operation. They are ideally suited to generating a negative supply where only a positive rail exists.,"5V 50mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input"
LME0505SC,,"5V 50mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input",The LME series of DC-DC converters are optimised for low-power operation. They are ideally suited to generating a negative supply where only a positive rail exists.,"5V 50mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input"
LME0509SC,,"9V 28mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input",The LME series of DC-DC converters are optimised for low-power operation. They are ideally suited to generating a negative supply where only a positive rail exists.,"9V 28mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input"
LME0512DC,,"12V 21mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input",The LME series of DC-DC converters are optimised for low-power operation. They are ideally suited to generating a negative supply where only a positive rail exists.,"12V 21mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input"
LME0512SC,,"12V 21mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input",The LME series of DC-DC converters are optimised for low-power operation. They are ideally suited to generating a negative supply where only a positive rail exists.,"12V 21mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input"
LME0515SC,,"15V 16mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input",The LME series of DC-DC converters are optimised for low-power operation. They are ideally suited to generating a negative supply where only a positive rail exists.,"15V 16mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 4.5-5.5V Input"
LME1205SC,,"5V 50mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 10.8-13.2V Input",The LME series of DC-DC converters are optimised for low-power operation. They are ideally suited to generating a negative supply where only a positive rail exists.,"5V 50mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 10.8-13.2V Input"
LME1209DC,,"9V 28mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 10.8-13.2V Input",The LME series of DC-DC converters are optimised for low-power operation. They are ideally suited to generating a negative supply where only a positive rail exists.,"9V 28mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 10.8-13.2V Input"
LME1212SC,,"12V 21mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 10.8-13.2V Input",The LME series of DC-DC converters are optimised for low-power operation. They are ideally suited to generating a negative supply where only a positive rail exists.,"12V 21mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 10.8-13.2V Input"
LME1215SC,,"15V 16mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 10.8-13.2V Input",The LME series of DC-DC converters are optimised for low-power operation. They are ideally suited to generating a negative supply where only a positive rail exists.,"15V 16mA, Isolated 250mW Single Output 1kVDC, DC-DC Converter, 10.8-13.2V Input"
MEA1D0505DC,,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input"
MEA1D0505SC,,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input"
MEA1D0509DC,,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input"
MEA1D0509SC,,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input"
MEA1D0512DC,,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input"
MEA1D0512SC,,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input"
MEA1D0515DC,,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input"
MEA1D0515SC,,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;15V &plusmn;33mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 4.5-5.5V Input"
MEA1D1205DC,,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input"
MEA1D1205SC,,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;5V &plusmn;100mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input"
MEA1D1209DC,,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input"
MEA1D1209SC,,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;9V &plusmn;56mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input"
MEA1D1212DC,,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input",The MEA series is the new high performance version of our 1W NMA series. The MEA series is more efficient and offers improved regulation performance &le; 5&#37; for applications where a wide output voltage variation can not be tolerated. They are ideally suited for providing dual rail supplies with the added benefit of galvanic isolation to reduce switching noise. All of the rated power may be drawn from a single output providing the total load does not exceed 1 watt.,"&plusmn;12V &plusmn;42mA, Isolated 1W Dual Output 1kVDC, DC-DC converter, 10.8-13.2V Input"
